query,answer
How does Harry first discover he is a wizard?,Hagrid tells him on his eleventh birthday.
What magical object is hidden at Hogwarts in Harry's first year?,The Philosopher's Stone.
Who tries to steal the Stone for Voldemort?,Professor Quirrell.
What ability allows Harry to retrieve the Stone from the Mirror of Erised?,Wanting the Stone but not wanting to use it.
What creature is responsible for petrifying students at Hogwarts?,A basilisk.
Who opens the Chamber of Secrets in Harryâ€™s second year?,Ginny Weasley, manipulated by Voldemort's diary.
How is the basilisk ultimately defeated?,Harry kills it with the Sword of Gryffindor.
What role does Fawkes the phoenix play in the final battle?,He blinds the basilisk and heals Harry.
Why is Sirius Black initially believed to be a murderer?,He was falsely accused of betraying the Potters.
What truth does Harry learn about Sirius Black?,Sirius is his godfather and innocent.
How do Harry and Hermione save Sirius?,They use time travel to free him on Buckbeak.
Why is Harry unwillingly entered into the Triwizard Tournament?,A disguised Death Eater manipulates the Goblet.
Who is that disguised Death Eater?,Barty Crouch Jr.
What is the significance of the graveyard scene?,Voldemort regains physical form.
Who is killed after being brought to the graveyard?,Cedric Diggory.
Who leads the oppressive educational reforms at Hogwarts?,Dolores Umbridge.
What is the prophecy about Harry and Voldemort?,One must ultimately defeat the other.
Who dies during the battle at the Department of Mysteries?,Sirius Black.
What is the key memory Harry must obtain from Slughorn?,Voldemort's Horcrux inquiry.
Who kills Dumbledore?,Severus Snape.
What object does Harry recover from the cave with Dumbledore?,A fake Horcrux locket.
What are the three Deathly Hallows?,Elder Wand, Resurrection Stone, Invisibility Cloak.
Why is destroying Horcruxes crucial?,Voldemort's life is tied to them.
How is Nagini eventually killed?,Neville kills her using the Sword of Gryffindor.
What ultimately destroys Voldemort?,His rebounding curse after losing wand mastery.